Date,Open,High,Low,Close,Volume
2019-03-01,23001.22852,23354.00781,23001.22852,23177.61914,1634348
2019-03-04,23354.00781,23812.62109,23283.45313,23706.78906,1375277
2019-03-05,23424.56445,24906.23828,23424.56445,24412.34766,5974891
2019-03-06,24412.34766,24624.01563,24271.23633,24518.18164,2411789
2019-03-07,24694.57031,24870.96094,24482.90234,24624.01563,2413192
2019-03-08,24306.51367,24482.90234,23918.45508,23989.01172,2563866
2019-03-11,24059.56836,24059.56836,23600.95508,23742.06641,1611841
2019-03-12,24059.56836,25047.34961,23847.90039,25047.34961,2395971
2019-03-13,24906.23828,25364.85156,24835.68359,25117.90625,4054826
2019-03-14,25117.90625,25894.02148,24835.68359,25541.24219,3757359
2019-03-15,25541.24219,26458.46875,25329.57422,26246.80078,4507402
2019-03-18,26246.80078,26529.02539,26035.13281,26317.35742,4146795
2019-03-19,26211.52344,26317.35742,25752.91016,25823.46484,3995568
2019-03-20,25505.96484,25752.91016,25047.34961,25470.68555,3827629
2019-03-21,25576.51953,25858.74414,24553.45898,24553.45898,3174290
2019-03-22,24976.79492,25188.46289,24553.45898,24765.12695,2660471
2019-03-25,24059.56836,24694.57031,23636.23242,24341.79102,2966299
2019-03-26,24624.01563,24765.12695,24130.12305,24200.67969,1476970
2019-03-27,24588.73633,24765.12695,24200.67969,24624.01563,1752580
2019-03-28,24306.51367,25294.29688,24306.51367,25117.90625,3113232
2019-03-29,25117.90625,25400.13086,25117.90625,25259.01758,2345359
2019-04-01,25259.01758,25611.79883,24906.23828,25047.34961,1925323
2019-04-02,25400.13086,25400.13086,24553.45898,24553.45898,2060110
2019-04-03,24553.45898,25470.68555,24306.51367,25188.46289,2686819
2019-04-04,25400.13086,25400.13086,24800.4043,24906.23828,1841857
2019-04-05,24906.23828,25188.46289,24553.45898,24729.84961,1309117
2019-04-08,24553.45898,25082.62891,24553.45898,25047.34961,1477777
2019-04-09,25047.34961,25541.24219,25047.34961,25223.74023,2950198
2019-04-10,25223.74023,25259.01758,24835.68359,24835.68359,740575
2019-04-11,24906.23828,25047.34961,24659.29297,24800.4043,912694
2019-04-12,24765.12695,24835.68359,24482.90234,24518.18164,1267661
2019-04-16,24412.34766,25117.90625,24130.12305,25047.34961,1990647
2019-04-17,25047.34961,25047.34961,24553.45898,24553.45898,1208190
2019-04-18,24553.45898,24976.79492,24447.625,24553.45898,1440076
2019-04-19,24553.45898,24835.68359,24482.90234,24588.73633,518553
2019-04-22,24588.73633,24588.73633,23953.73438,24130.12305,974347
2019-04-23,24412.34766,24412.34766,23953.73438,24130.12305,1425450
2019-04-24,24341.79102,24553.45898,24200.67969,24412.34766,847695
2019-04-25,24412.34766,24694.57031,24341.79102,24341.79102,658513
2019-04-26,24341.79102,24624.01563,24341.79102,24553.45898,686264
2019-05-02,24694.57031,24694.57031,24341.79102,24341.79102,685214
2019-05-03,24341.79102,24553.45898,24130.12305,24130.12305,787077
