Date,Open,High,Low,Close,Volume
2019-03-01,40478.95313,41275.25781,40346.23438,41275.25781,1225908
2019-03-04,41275.25781,41806.13281,41275.25781,41673.41406,2030592
2019-03-05,41673.41406,42337.00391,41474.33594,41806.13281,2376092
2019-03-06,41872.48828,42005.20703,41076.18359,41607.05469,2107101
2019-03-07,41607.05469,42337.00391,41540.69531,41872.48828,3091640
2019-03-08,41407.97656,41806.13281,41208.90234,41673.41406,1502992
2019-03-11,41407.97656,41607.05469,41076.18359,41540.69531,2149189
2019-03-12,41806.13281,43000.59375,41607.05469,43000.59375,3397250
2019-03-13,43133.30859,43266.02734,42801.51563,43266.02734,2682908
2019-03-14,43266.02734,44460.48828,42801.51563,44460.48828,3828647
2019-03-15,44593.20703,44593.20703,43796.89844,43796.89844,3942286
2019-03-18,44128.69531,44991.35938,44128.69531,44858.64063,3461025
2019-03-19,44858.64063,44858.64063,44261.41016,44327.76953,2683345
2019-03-20,44261.41016,44593.20703,43929.61719,44261.41016,4082901
2019-03-21,44394.12891,45057.71875,44128.69531,44195.05469,2468046
2019-03-22,44327.76953,44460.48828,44128.69531,44394.12891,4247324
2019-03-25,43133.30859,43796.89844,42469.71875,43465.10547,2731552
2019-03-26,43863.25781,44128.69531,43465.10547,43465.10547,1895403
2019-03-27,43730.53906,43730.53906,42934.23438,43465.10547,1180216
2019-03-28,43597.82422,44261.41016,43398.74609,44261.41016,1118868
2019-03-29,44460.48828,44792.28516,44327.76953,44659.56641,1021790
2019-04-01,45057.71875,45057.71875,44858.64063,44991.35938,1603490
2019-04-02,45124.07813,45455.87109,44792.28516,44792.28516,839328
2019-04-03,44792.28516,44858.64063,44128.69531,44593.20703,2027834
2019-04-04,44593.20703,45057.71875,44327.76953,44925,1430039
2019-04-05,44991.35938,45256.79688,44991.35938,45190.4375,719616
2019-04-08,45190.4375,46252.17969,45057.71875,46252.17969,1720792
2019-04-09,46252.17969,46451.25781,46053.10156,46318.53906,1279676
